SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
9,8:29:21,29/01/2025,K_lowfl_medbth,Karina Guo,,,536,Low,0.041247,1.901507,0.040372,0.46546,1.709791,1.684041,2.854602,1.144811,16.578918,16.832422,28.102768,0.441786,7.5,PSF-01163_20250129082921_e50,0,0,0,133.729218,575.88385,0.767784,0.5,0.8,17.823544,1,59.1,58.21,23.42,23.2,23.2,101.58,79.8,68.3,14.3,58,4.118,8:23:57,29/01/2025,-2.01,1,0,0,-9999,0.112,0.153,-9999,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.453841,2.497156,1.073465,0.737621,0.290437,-0.000667,0.082226,0.157829,133.729218,0.001119,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129082921_e50,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
10,8:29:54,29/01/2025,K_lowfl_medbth,Karina Guo,,,556,Mid,0.099243,1.906289,0.094332,0.996787,1.739635,1.684682,2.789111,1.049477,16.584291,17.125252,27.456478,0.441786,7.5,PSF-01163_20250129082954_636,0,0,0,138.761398,567.901978,0.75566,0.5,0.8,17.046547,1,59.85,57.96,23.5,22.82,22.82,101.58,80,69.2,13.5,56,4.116,8:23:57,29/01/2025,-2.01,1,0,0,-0.002,0.035,-0.001,-0.293,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.453493,2.49816,1.075243,0.739608,0.289528,-0.005782,0.086199,0.156403,138.761398,0.001147,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129082954_636,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
11,8:30:21,29/01/2025,K_lowfl_medbth,Karina Guo,,,556,Mid,0.010852,1.900807,0.010791,0.129571,1.697011,1.689837,2.889267,1.192256,16.63455,16.70516,28.441584,0.441786,7.5,PSF-01163_20250129083021_c2a,0,0,0,142.430298,570.300232,0.750254,0.5,0.8,13.760341,1,58.17,57.92,23.56,23.4,23.4,101.59,79.7,79.8,-0.1,46,4.116,8:23:57,29/01/2025,-2.01,1,-0.001,-0.001,-0.003,0.029,-0.176,-0.411,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.453439,2.495864,1.073205,0.762606,0.288835,0.000021,0.089303,0.147232,142.430298,0.001152,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129083021_c2a,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
13,8:31:10,29/01/2025,K_lowfl_medbth,Karina Guo,,,556,Mid,0.087102,1.904832,0.083293,0.907699,1.744932,1.694841,2.827101,1.082169,16.683313,17.176388,27.828812,0.441786,7.5,PSF-01163_20250129083110_fb5,0,0,0,131.86705,547.593018,0.759188,0.5,0.8,14.297548,1,59.44,57.73,23.67,23.04,23.04,101.59,79.9,79.2,1,47,4.114,8:23:57,29/01/2025,-2.01,1,0.001,0,0.002,-0.001,0.043,-0.022,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.453165,2.497574,1.074701,0.761142,0.287633,-0.00513,0.095024,0.148301,131.86705,0.001145,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129083110_fb5,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
14,8:31:32,29/01/2025,K_lowfl_medbth,Karina Guo,,,82,Low,0.084668,1.901656,0.081059,0.837835,1.740324,1.693987,2.767055,1.026731,16.675026,17.131151,27.237942,0.441786,7.5,PSF-01163_20250129083132_36e,0,0,0,139.180542,589.440491,0.763877,0.5,0.8,14.891294,1,59.13,57.55,23.71,22.69,22.69,101.59,79.8,79.5,0.3,49,4.114,8:23:57,29/01/2025,-2.01,1,0,0,0.002,-0.031,0.018,0.068,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.45292,2.497142,1.07352,0.761921,0.287135,-0.009525,0.097597,0.14974,139.180542,0.001146,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129083132_36e,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
15,8:32:29,29/01/2025,K_lowfl_medbth,Karina Guo,,,82,Low,0.049094,1.905216,0.047861,0.521877,1.730374,1.701579,2.813302,1.082928,16.750172,17.033628,27.693865,0.441786,7.5,PSF-01163_20250129083229_c29,0,0,0,137.369507,599.605347,0.7709,0.5,0.8,13.299013,1,58.46,57.49,23.8,22.96,22.96,101.59,80,79.4,0.7,43,4.113,8:23:57,29/01/2025,-2.01,1,0.001,0,-9999,0.003,-0.072,-9999,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.452819,2.49622,1.074843,0.761589,0.286077,-0.007529,0.104303,0.144863,137.369507,0.001168,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129083229_c29,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
16,8:32:59,29/01/2025,K_lowfl_medbth,Karina Guo,,,82,Low,0.048256,1.904796,0.047063,0.514704,1.731172,1.702765,2.817244,1.086072,16.762472,17.042112,27.73369,0.441786,7.5,PSF-01163_20250129083259_899,0,0,0,135.254852,593.039612,0.77193,0.5,0.8,14.968542,1,58.34,57.38,23.85,22.99,22.99,101.58,79.9,79.8,0.2,48,4.113,8:23:57,29/01/2025,-2.01,1,0.001,0,-9999,0.04,0.021,-9999,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.452664,2.496039,1.074687,0.762499,0.285576,-0.007759,0.107706,0.149516,135.254852,0.00114,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129083259_899,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
17,8:36:30,29/01/2025,K_lowfl_medbth,Karina Guo,,,551,Mid,0.02516,1.907455,0.024833,0.303636,1.773698,1.756976,2.986809,1.213111,17.294218,17.458817,29.399679,0.441786,7.5,PSF-01163_20250129083630_45a,0,0,0,124.337196,475.696564,0.738621,0.5,0.8,6.130785,1,58.05,57.5,24.33,23.95,23.95,101.59,80.1,68.6,14.3,21,4.106,8:23:57,29/01/2025,-2.01,1,0,0,0.002,0.726,0.324,0.428,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.452726,2.495556,1.075677,0.738293,0.280073,-0.0024,0.131907,0.1254,124.337196,0.001151,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129083630_45a,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
18,8:37:34,29/01/2025,K_lowfl_medbth,Karina Guo,,,551,Mid,0.055006,1.90332,0.053461,0.638551,1.792201,1.756943,2.977152,1.18495,17.294147,17.641209,29.305056,0.441786,7.5,PSF-01163_20250129083734_4d0,0,0,0,126.080994,473.508606,0.73373,0.5,0.8,10.074409,1,58.13,56.99,24.48,23.9,23.9,101.59,79.8,79.6,0.3,34,4.105,8:37:15,29/01/2025,-1.64,1,0,0,-9999,-0.09,-0.109,-9999,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.45202,2.495128,1.074138,0.762204,0.278404,-0.004672,0.139047,0.137207,126.080994,0.001159,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129083734_4d0,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
19,8:38:16,29/01/2025,K_lowfl_medbth,Karina Guo,,,551,Mid,0.066466,1.900675,0.06422,0.741215,1.804264,1.763268,2.949391,1.145127,17.356236,17.759771,29.031507,0.441786,7.5,PSF-01163_20250129083816_2a2,0,0,0,122.70105,525.589966,0.766546,0.5,0.8,12.137499,1,58.29,56.96,24.55,23.74,23.74,101.59,79.7,78.3,1.8,40,4.103,8:37:15,29/01/2025,-1.64,1,0,0,0.002,-0.123,-0.142,-0.335,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.451974,2.495329,1.073156,0.759154,0.277658,-0.007159,0.143599,0.141781,122.70105,0.001178,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129083816_2a2,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
20,8:40:55,29/01/2025,K_lowfl_medbth,Karina Guo,,,530,Low,0.058988,1.902142,0.057214,0.679259,1.80998,1.772449,2.987676,1.177696,17.446138,17.815554,29.407566,0.441786,7.5,PSF-01163_20250129084055_bae,0,0,0,119.354721,519.311401,0.770167,0.5,0.8,11.703985,1,57.9,56.7,24.72,23.96,23.96,101.6,79.8,79.6,0.2,38,4.1,8:37:15,29/01/2025,-1.64,1,0,-0.001,0,-0.021,-0.29,-0.476,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.451596,2.494771,1.0737,0.762075,0.275844,-0.006601,0.160977,0.140395,119.354721,0.001148,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129084055_bae,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
21,8:41:17,29/01/2025,K_lowfl_medbth,Karina Guo,,,530,Low,0.070801,1.907164,0.068267,0.762061,1.817719,1.77576,2.925337,1.107618,17.478983,17.891989,28.794388,0.441786,7.5,PSF-01163_20250129084117_607,0,0,0,124.863983,551.365601,0.773537,0.5,0.8,10.761428,1,58.08,56.74,24.73,23.61,23.61,101.59,80.1,68,15.1,35,4.1,8:37:15,29/01/2025,-1.64,1,0.001,0,0.003,0.139,0.279,0.645,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.451648,2.495017,1.075569,0.736921,0.275638,-0.010716,0.163196,0.137602,124.863983,0.001145,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129084117_607,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
22,8:41:37,29/01/2025,K_lowfl_medbth,Karina Guo,,,530,Low,0.059898,1.904818,0.058072,0.67035,1.80912,1.772148,2.954367,1.145247,17.44339,17.807302,29.080059,0.441786,7.5,PSF-01163_20250129084137_ca5,0,0,0,116.735458,512.774353,0.772345,0.5,0.8,11.310009,1,57.74,56.56,24.75,23.77,23.77,101.59,79.9,78.2,2.1,37,4.1,8:37:15,29/01/2025,-1.64,1,0,0,0.003,0.024,0.033,0.466,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.451408,2.49455,1.074695,0.759129,0.27543,-0.009101,0.165206,0.139193,116.735458,0.001161,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129084137_ca5,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
23,8:42:09,29/01/2025,K_lowfl_medbth,Karina Guo,,,179,Mid,0.074742,1.905426,0.071921,0.825233,1.821386,1.775896,2.959677,1.138291,17.480021,17.927774,29.131901,0.441786,7.5,PSF-01163_20250129084209_016,0,0,0,118.664864,484.526031,0.755091,0.5,0.8,10.707487,1,58.03,56.58,24.78,23.8,23.8,101.6,80,70.8,11.5,35,4.099,8:37:15,29/01/2025,-1.64,1,0,0,0.001,0.154,0.256,0.451,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.451428,2.494939,1.074921,0.742959,0.275106,-0.009099,0.168556,0.138186,118.664864,0.001144,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129084209_016,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
24,8:42:52,29/01/2025,K_lowfl_medbth,Karina Guo,,,179,Mid,0.040958,1.902222,0.040095,0.519692,1.805058,1.776345,3.090141,1.285082,17.484783,17.767416,30.416641,0.441786,7.5,PSF-01163_20250129084252_0a7,0,0,0,116.860985,474.500671,0.753718,0.5,0.8,9.691454,1,57.37,56.45,24.82,24.52,24.52,101.59,79.8,79.6,0.2,32,4.097,8:37:15,29/01/2025,-1.64,1,0.001,0.001,0.002,0.031,0.139,0.225,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.451251,2.494023,1.07373,0.762151,0.274644,-0.001523,0.173026,0.135311,116.860985,0.001131,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129084252_0a7,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
25,8:43:26,29/01/2025,K_lowfl_medbth,Karina Guo,,,179,Mid,0.123982,1.902234,0.116396,1.323695,1.851545,1.778443,2.97943,1.127885,17.505482,18.225031,29.326971,0.441786,7.5,PSF-01163_20250129084326_336,0,0,0,121.824142,487.031219,0.749864,0.5,0.8,11.085751,1,58.74,56.42,24.85,23.91,23.91,101.59,79.8,79.8,0,37,4.097,8:37:15,29/01/2025,-1.64,1,0.001,0,0.002,0.114,0.205,0.132,1,75,0.001,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,1,2,55537,55537,55537,0,-9999,0,0,0,0,2.451202,2.495894,1.073735,0.762555,0.274322,-0.008665,0.176562,0.139497,121.824142,0.001159,2.363673,0.000005,1,2.399535,0.000012,1,0.601056,0.600294,0.107352,0,PSF-01163_20250129084326_336,PFA-00994,PSA-00994,PSF-01163,RHS-01998,3.0.0,2025-01-13T08:33:48.201Z
