IID,Mat_Line,Drought_sev,Drought_len,Type,,,
627,NSW1079715,Mid,30,Sample,,,
628,NSW1079715,Mid,30,Sample,,,
629,NSW1079715,Mid,30,Destructive,,,
630,NSW1079715,Mid,30,Destructive,,,
631,NSW1079715,Mid,60,Sample,,,
632,NSW1079715,Mid,60,Sample,,,
633,NSW1079715,Mid,60,Sample,,,
634,NSW1079715,Mid,60,Sample,,,
635,NSW1079715,Mid,60,Sample,,,
636,NSW1079715,Mid,60,Sample,,,
637,NSW1079715,Mid,60,Sample,,,
638,NSW1079715,Mid,60,Sample,,,
639,NSW1079715,Mid,60,Destructive,,,
640,NSW1079715,Mid,60,Destructive,,,
641,NSW1079715,High,30,Sample,,,
642,NSW1079715,High,30,Sample,,,
643,NSW1079715,High,30,Sample,,,
644,NSW1079715,High,30,Sample,,,
645,NSW1079715,High,30,Sample,,,
646,NSW1079715,High,30,Sample,,,
647,NSW1079715,High,30,Sample,,,
648,NSW1079715,High,30,Sample,,,
649,NSW1079715,High,30,Destructive,,,
650,NSW1079715,High,30,Destructive,,,
651,NSW1079715,High,60,Sample,,,
652,NSW1079715,High,60,Sample,,,
