"IID","COI_Scores_Inoc1","Drought_len","COI_Scores_Inoc2","Difference","Mat_Line","Drought_sev","block_num","block_cell1","block_cell2","Type","...9","ID","Porometer_15D","Porometer_30D","Day 30 Inoculation","Missing?","Archive if changed","Status","Inoculation date_1_3/2/25","Inoculation date_2_17/3/25","Inoculation date_3_3/3/25","Inoculated?"
368,0.25,30,2.5,2.25,"NSW1078656","Moderate","162_realizes",53,"29",NA,NA,"368_656_M","Y","Y",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
380,1.25,30,13.125,11.875,"NSW1078647","Low","20_by",26,"NA","Sample",NA,"380_647_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
381,1.25,30,17.5,16.25,"NSW1078647","Low","13_Mr.",47,"NA","Sample",NA,"381_647_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
399,1.25,30,0,-1.25,"NSW1078647","Moderate","16_as",31,"NA","Sample",NA,"399_647_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
403,0.25,30,18.75,18.5,"NSW1078647","Moderate","4_has",32,"NA","Sample",NA,"403_647_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
404,1.25,30,17.5,16.25,"NSW1078647","Moderate","17_before",36,"NA","Destructive",NA,"404_647_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
425,2.5,30,7.5,5,"NSW1078647","High","14_depicts",14,"NA","Destructive",NA,"425_647_H","Y","Y",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
436,2.5,30,15,12.5,"NSW1079701","Low","154_has",51,"35",NA,NA,"436_701_L","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
451,1.25,30,12.5,11.25,"NSW1079692","Low","22_Mark",3,"NA","Sample",NA,"451_692_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
454,0.25,30,7.5,7.25,"NSW1079692","Low","16_as",31,"NA","Sample",NA,"454_692_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
455,2.5,30,1.25,-1.25,"NSW1079692","Low","13_Mr.",47,"NA","Sample",NA,"455_692_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
458,1.25,30,15,13.75,"NSW1079692","Low","15_of",34,"NA","Sample",NA,"458_692_L","Y","Y",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
475,1.25,30,7.5,6.25,"NSW1079692","Moderate","20_by",26,"NA","Sample",NA,"475_692_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
480,1.25,30,37.5,36.25,"NSW1079692","Moderate","9_an",30,"NA","Destructive",NA,"480_692_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
492,0.25,30,5,4.75,"NSW1079692","High","23_she",40,"NA","Sample",NA,"492_692_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
493,1.25,30,17.5,16.25,"NSW1079692","High","12_realizes",49,"NA","Sample",NA,"493_692_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
494,1.25,30,1.25,0,"NSW1079692","High","24_mainland",48,"NA","Sample",NA,"494_692_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
497,2.5,30,0,-2.5,"NSW1079692","High","11_novel",46,"NA","Sample",NA,"497_692_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
